condFiles,audio,imageLoc,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,testloop.thisRepN,testloop.thisTrialN,testloop.thisN,testloop.thisIndex,instructions.started,instructions.stopped,stimulitrain1r1.started,stimulitrain1r1.stopped,image.started,image.stopped,sound_1.started,sound_1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
autoConditions/train1Block1Condition.xlsx,wavaudio/pakito1.wav,pngimages/17_cracker.png,0,0,0,0,0,0,0,0,14.432416339288466,None,14.892319278267678,16.89143781462917,14.93121714098379,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block1Condition.xlsx,wavaudio/pakito1.wav,pngimages/26_pineapple.png,0,0,0,0,0,1,1,1,,,17.879703719506505,19.8949553623097,17.881282387010287,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block1Condition.xlsx,wavaudio/pakito1.wav,pngimages/100_bicycle.png,0,0,0,0,0,2,2,2,,,20.894528317835647,22.899818987527397,20.896329380804673,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block1Condition.xlsx,wavaudio/pakito1.wav,pngimages/21_cheese.png,0,0,0,0,0,3,3,3,,,24.12008426859975,26.122171727009118,24.12350194604369,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block1Condition.xlsx,wavaudio/pakito1.wav,pngimages/01_gift.png,0,0,0,0,0,4,4,4,,,26.85521832506638,28.85485358152073,26.850919939170126,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block1Condition.xlsx,wavaudio/pakito1.wav,pngimages/23_lemon.png,0,0,0,0,0,5,5,5,,,29.837990232754965,31.837498433014844,29.838817702198867,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block1Condition.xlsx,,,0,0,0,0,,,,,,,,,,,32.853531669266516,34.85356678429525,32.848204751790036,None,32.848204751790036,None,-0.4777777777777778,0.027777777777777776,1,0,0,3.8709891422768123,incorrect,0.011773363628890365,None,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block2Condition.xlsx,wavaudio/pakito1.wav,pngimages/20_pizza.png,0,1,1,1,0,0,0,0,,,36.75312429675832,38.76874691329431,36.75225604849402,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block2Condition.xlsx,wavaudio/pakito1.wav,pngimages/07_suitcase.png,0,1,1,1,0,1,1,1,,,39.75202704542316,41.75158923986601,39.75198645540513,39.75198645540513,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block2Condition.xlsx,wavaudio/pakito1.wav,pngimages/100_bicycle.png,0,1,1,1,0,2,2,2,,,42.76771913686534,44.76716749055777,42.766238640469965,42.766238640469965,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block2Condition.xlsx,wavaudio/pakito1.wav,pngimages/02_pallet.png,0,1,1,1,0,3,3,3,,,45.76682747855084,47.766352670034394,45.76827342627803,45.76827342627803,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block2Condition.xlsx,wavaudio/pakito1.wav,pngimages/15_barrel.png,0,1,1,1,0,4,4,4,,,48.81595685150241,50.81552924064454,48.81156614696374,48.81156614696374,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block2Condition.xlsx,wavaudio/pakito1.wav,pngimages/16_icecream.png,0,1,1,1,0,5,5,5,,,51.815265122521666,53.81450788315851,51.815359706641175,51.815359706641175,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block2Condition.xlsx,,,0,1,1,1,,,,,,,,,,,54.814435576333196,56.81425037269946,54.81580865086289,None,54.81580865086289,None,0.5833333333333334,0.007407407407407408,1,0,0,6.854315150529146,correct,0.004750161955598742,None,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block3Condition.xlsx,wavaudio/pakito1.wav,pngimages/20_pizza.png,0,2,2,2,0,0,0,0,,,61.69638458321569,63.71190959494561,61.69841899140738,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block3Condition.xlsx,wavaudio/pakito1.wav,pngimages/05_megaphone.png,0,2,2,2,0,1,1,1,,,64.7118727807654,66.7115984679549,64.71174232644262,64.71174232644262,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block3Condition.xlsx,wavaudio/pakito1.wav,pngimages/03_box.png,0,2,2,2,0,2,2,2,,,67.71084311646409,69.71040342299966,67.71105210774112,67.71105210774112,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block3Condition.xlsx,wavaudio/pakito1.wav,pngimages/16_icecream.png,0,2,2,2,0,3,3,3,,,70.71041607200168,72.7134421975934,70.71012741106097,70.71012741106097,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block3Condition.xlsx,wavaudio/pakito1.wav,pngimages/01_gift.png,0,2,2,2,0,4,4,4,,,73.73018037815345,75.7294667494134,73.73145282722544,73.73145282722544,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block3Condition.xlsx,wavaudio/pakito1.wav,pngimages/21_cheese.png,0,2,2,2,0,5,5,5,,,76.8889076420921,78.89104475243948,76.89357907837257,76.89357907837257,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block3Condition.xlsx,,,0,2,2,2,,,,,,,,,,,79.99058991799829,81.99070696817944,79.988960654533,None,79.988960654533,None,,,,,,,,0.00899965112330392,7.0002846962888725,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block4Condition.xlsx,wavaudio/pakito1.wav,pngimages/08_bell.png,0,3,3,3,0,0,0,0,,,87.00619044599588,89.02167090313742,86.99670937866904,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block4Condition.xlsx,wavaudio/pakito1.wav,pngimages/01_gift.png,0,3,3,3,0,1,1,1,,,90.00479698205599,92.00413111736998,90.00539752520854,90.00539752520854,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block4Condition.xlsx,wavaudio/pakito1.wav,pngimages/04_ladder.png,0,3,3,3,0,2,2,2,,,93.020619150321,95.02010696125217,93.0238714471343,93.0238714471343,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
autoConditions/train1Block4Condition.xlsx,wavaudio/pakito1.wav,pngimages/09_plane.png,0,3,3,3,0,3,3,3,,,96.0529297290719,98.05241206509527,96.04964665940497,96.04964665940497,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2223,sonority,2020.1.3,60.02026029707827,
