audioA,audioX,audioB,correctLabel,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,test3Loop.thisRepN,test3Loop.thisTrialN,test3Loop.thisN,test3Loop.thisIndex,postTestLoop.thisRepN,postTestLoop.thisTrialN,postTestLoop.thisN,postTestLoop.thisIndex,instructions.started,instructions.stopped,train2warning10.started,train2warning10.stopped,train2warning5.started,train2warning5.stopped,train2warning4.started,train2warning4.stopped,train2warning3.started,train2warning3.stopped,train2warning2.started,train2warning2.stopped,train2warning1.started,train2warning1.stopped,skipTrain2Instr.keys,skipTrain2Instr.rt,skipTrain2Instr.started,skipTrain2Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,test1warning10.started,test1warning10.stopped,test1warning5.started,test1warning5.stopped,test1warning4.started,test1warning4.stopped,test1warning3.started,test1warning3.stopped,test1warning2.started,test1warning2.stopped,test1warning1.started,test1warning1.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,test2warning10.started,test2warning10.stopped,test2warning5.started,test2warning5.stopped,test2warning4.started,test2warning4.stopped,test2warning3.started,test2warning3.stopped,test2warning2.started,test2warning2.stopped,test2warning1.started,test2warning1.stopped,skipTest3Instr.keys,skipTest3Instr.rt,skipTest3Instr.started,skipTest3Instr.stopped,test3warning10.started,test3warning10.stopped,test3warning5.started,test3warning5.stopped,test3warning4.started,test3warning4.stopped,test3warning3.started,test3warning3.stopped,test3warning2.started,test3warning2.stopped,test3warning1.started,test3warning1.stopped,skipPostTestInstr.keys,skipPostTestInstr.rt,skipPostTestInstr.started,skipPostTestInstr.stopped,postTestWarning10.started,postTestWarning10.stopped,postTestWarning5.started,postTestWarning5.stopped,postTestWarning4.started,postTestWarning4.stopped,postTestWarning3.started,postTestWarning3.stopped,postTestWarning2.started,postTestWarning2.stopped,postTestWarning1.started,postTestWarning1.stopped,postTestResponse.keys,postTestResponse.rt,postTestResponse.started,postTestResponse.stopped,postTestAudio1.started,postTestAudio1.stopped,fSound.started,fSound.stopped,fMute.started,fMute.stopped,postTestAudio2.started,postTestAudio2.stopped,xMute1.started,xMute1.stopped,xSound.started,xSound.stopped,xMute2.started,xMute2.stopped,postTestAudio3.started,postTestAudio3.stopped,jMute1.started,jMute1.stopped,jSound.started,jSound.stopped,jMute2.started,jMute2.stopped,textInstrPostTest.started,textInstrPostTest.stopped,fText.started,fText.stopped,xText.started,xText.stopped,jText.started,jText.stopped,text.started,text.stopped,quit.keys,quit.rt,quit.started,quit.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96893492,None,16.50394345,None,None,None,None,None,None,None,None,None,None,None,s,1.090854994,16.50394345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.863871185,17.61270975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.61270975,None,None,None,None,None,None,None,None,None,None,None,s,0.766601471,18.50082803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.50082803,None,None,None,None,None,None,None,None,None,None,None,s,0.830838154,19.30165494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.30165494,None,None,None,None,None,None,None,None,None,None,None,s,0.789997885,20.16883524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
postTest/82_tipiko1.wav,postTest/82_tipiko1.wav,postTest/82_tipiko3.wav,audioA,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.16883524,None,None,None,None,None,None,None,None,None,None,None,f,3.087833215,24.0006838,None,20.99716052,None,21.04136246,22.04863278,21.99944873,None,21.99916664,None,21.04136246,22.04863278,21.99944873,23.00022542,23.00022542,None,22.99967524,None,21.04136246,23.0496194,23.00022542,24.0006838,24.0006838,None,21.04136246,None,21.04136246,None,21.04136246,None,21.04136246,None,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
postTest/83_pitita3.wav,postTest/83_pitita3.wav,postTest/83_pitita2.wav,audioA,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,2.015464198,30.12226971,None,27.13638436,None,27.13914644,28.15412734,28.12100066,None,28.12066156,None,27.13914644,28.15412734,28.12100066,29.12140015,29.12140015,None,29.12119433,None,27.13914644,29.15465746,29.12140015,30.12226971,30.12226971,None,27.13914644,None,27.13914644,None,27.13914644,None,27.13914644,None,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
postTest/84_pitoka3.wav,postTest/84_pitoka1.wav,postTest/84_pitoka1.wav,audioB,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,0.870005739,35.15962302,None,32.17405673,None,32.17257631,33.17487162,33.15829583,None,33.1580885,None,32.17257631,33.17487162,33.15829583,34.15905137,34.15905137,None,34.15897279,None,32.17257631,34.17568682,34.15905137,35.15962302,35.15962302,None,32.17257631,None,32.17257631,None,32.17257631,None,32.17257631,None,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
postTest/85_kipata2.wav,postTest/85_kipata2.wav,postTest/85_kipata3.wav,audioA,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1.698922007,39.06302012,None,36.07713212,None,36.07073372,37.07793343,37.06136933,None,37.06118693,None,36.07073372,37.07793343,37.06136933,38.06265802,38.06265802,None,38.06242615,None,36.07073372,38.07934256,38.06265802,39.06302012,39.06302012,None,36.07073372,None,36.07073372,None,36.07073372,None,36.07073372,None,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
postTest/86_totipa2.wav,postTest/86_totipa1.wav,postTest/86_totipa1.wav,audioB,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,5.067132727,43.78350425,None,40.79766421,None,40.7916683,41.79852517,41.78211966,None,41.7819735,None,40.7916683,41.79852517,41.78211966,42.78276193,42.78276193,None,42.78298353,None,40.7916683,42.80003738,42.78276193,43.78350425,43.78350425,None,40.7916683,None,40.7916683,None,40.7916683,None,40.7916683,None,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
postTest/87_kopoko1.wav,postTest/87_kopoko3.wav,postTest/87_kopoko3.wav,audioB,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,0.265971666,51.87378457,None,48.88776253,None,48.88054477,49.88870316,49.87215719,None,49.87195402,None,48.88054477,49.88870316,49.87215719,50.87295427,50.87295427,None,50.87282585,None,48.88054477,50.88953837,50.87295427,51.87378457,51.87378457,None,48.88054477,None,48.88054477,None,48.88054477,None,48.88054477,None,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
postTest/88_pokota2.wav,postTest/88_pokota2.wav,postTest/88_pokota1.wav,audioA,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,0.137878147,55.14309405,None,52.17404729,None,52.16790412,53.17464809,53.15819992,None,53.15794388,None,52.16790412,53.17464809,53.15819992,54.15940894,54.15940894,None,54.15883195,None,52.16790412,54.17550747,54.15940894,55.15975631,55.14309405,None,52.16790412,None,52.16790412,None,52.16790412,None,52.16790412,None,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
postTest/89_totako3.wav,postTest/89_totako2.wav,postTest/89_totako2.wav,audioB,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,0.504132622,58.31249075,None,55.32652799,None,55.31935781,56.32722508,56.31082298,None,56.31065642,None,55.31935781,56.32722508,56.31082298,57.31168348,57.31168348,None,57.31162681,None,55.31935781,57.32812486,57.31168348,58.31249075,58.31249075,None,55.31935781,None,55.31935781,None,55.31935781,None,55.31935781,None,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
postTest/90_papiki2.wav,postTest/90_papiki3.wav,postTest/90_papiki3.wav,audioB,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,0.463878358,61.84869131,None,58.86263566,None,58.85543225,59.86364577,59.83040809,None,59.83545517,None,58.85543225,59.86364577,59.83040809,60.83103299,60.84787837,None,60.84769445,None,58.85543225,60.86438016,60.84787837,61.84869131,61.84869131,None,58.85543225,None,58.85543225,None,58.85543225,None,58.85543225,None,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
postTest/91_papipo1.wav,postTest/91_papipo1.wav,postTest/91_papipo2.wav,audioA,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,0.348210645,65.33589736,None,62.34978131,None,62.34754195,63.35062188,63.33348424,None,63.33318025,None,62.34754195,63.35062188,63.33348424,64.33402569,64.33402569,None,64.33397015,None,62.34754195,64.3515613,64.33402569,65.33589736,65.33589736,None,62.34754195,None,62.34754195,None,62.34754195,None,62.34754195,None,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
postTest/92_katoki1.wav,postTest/92_katoki2.wav,postTest/92_katoki2.wav,audioB,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,0.235387624,68.70429725,None,65.70178328,None,65.70901814,66.71926946,66.7028194,None,66.70258337,None,65.70901814,66.71926946,66.7028194,67.70357531,67.70357531,None,67.70340914,None,65.70901814,67.7201175,67.70357531,68.70429725,68.70429725,None,65.70901814,None,65.70901814,None,65.70901814,None,65.70901814,None,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
postTest/93_pakopa3.wav,postTest/93_pakopa3.wav,postTest/93_pakopa1.wav,audioA,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,0.219000997,71.97366374,None,68.98773988,None,68.97966463,69.98864992,69.97206355,None,69.97199027,None,68.97966463,69.98864992,69.97206355,70.97286365,70.97286365,None,70.97360329,None,68.97966463,70.98958368,70.97286365,71.97366374,71.97366374,None,68.97966463,None,68.97966463,None,68.97966463,None,68.97966463,None,,,,,,,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22372491,None,f,1.199166679,72.22372491,None,testdelete,1,2020_Aug_05_1216,sonority,2020.1.3,59.88057533
